Genus	TAXON	FAMILY	ORDER	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Aepyceros	Aepyceros melampus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Alcelaphus	Alcelaphus buselaphus	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Beatragus	Beatragus hunteri	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Connochaetes	Connochaetes gnou	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Damaliscus	Damaliscus korrigum	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Ammodorcas	Ammodorcas clarkei	Bovidae	Artiodactyla	1	2	1	0	1	0	0	0
Antidorcas	Antidorcas marsupialis	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Dorcatragus	Dorcatragus megalotis	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Eudorcas	Eudorcas rufifrons	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Ammotragus	Ammotragus lervia	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Cephalophus	Cephalophus adersi	Bovidae	Artiodactyla	2	2	1	0	1	1	0	0
Hylochoerus	Hylochoerus meinertzhageni	Suidae	Artiodactyla	2	0	2	0	1	1	0	1
Phacochoerus	Phacochoerus aethiopicus	Suidae	Artiodactyla	3	0	3	0	0	0	1	1
Potamochoerus	Potamochoerus larvatus	Suidae	Artiodactyla	1	0	1	0	0	1	0	0
Hippopotamus	Hippopotamus amphibius	Hippopotamidae	Artiodactyla	2	0	1	0	1	1	0	0
Hyemoschus	Hyemoschus aquaticus	Tragulidae	Artiodactyla	1	2	1	0	1	0	0	0
Giraffa	Giraffa camelopardalis	Giraffidae	Artiodactyla	1	2	1	0	1	0	0	0
Okapia	Okapia johnstoni	Giraffidae	Artiodactyla	1	2	1	0	1	0	0	0
Gazella	Gazella arabica	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Litocranius	Litocranius walleri	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Madoqua	Madoqua guentheri	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Nanger	Nanger dama	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Neotragus	Neotragus batesi	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Oreotragus	Oreotragus oreotragus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Ourebia	Ourebia ourebi	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Raphicerus	Raphicerus campestris	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Syncerus	Syncerus caffer	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Tragelaphus	Tragelaphus angasii	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Philantomba	Philantomba maxwellii	Bovidae	Artiodactyla	1	2	1	0	1	0	0	0
Sylvicapra	Sylvicapra grimmia	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Addax	Addax nasomaculatus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Hippotragus	Hippotragus equinus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Oryx	Oryx beisa	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Kobus	Kobus ellipsiprymnus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Pelea	Pelea capreolus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Redunca	Redunca arundinum	Bovidae	Artiodactyla	3	2	1	0	1	1	0	1
Allenopithecus	Allenopithecus nigroviridis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Cercocebus	Cercocebus agilis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Cercopithecus	Cercopithecus albogularis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Chlorocebus	Chlorocebus aethiops	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Colobus	Colobus angolensis	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Loxodonta	Loxodonta africana	Elephantidae	Proboscidea	3	0	3	0	1	0	1	1
Arctocebus	Arctocebus calabarensis	Loridae	Primates	1	0	1	0	0	0	0	0
Perodicticus	Perodicticus potto	Lorisidae	Primates	1	0	1	0	0	0	0	0
Euoticus	Euoticus elegantulus	Galagonidae	Primates	1	0	1	0	0	0	0	0
Galago	Galago gallarum	Galagidae	Primates	1	0	1	0	0	0	0	0
Otolemur	Otolemur crassicaudatus	Galagidae	Primates	1	0	1	0	0	0	0	0
Erythrocebus	Erythrocebus patas	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Lophocebus	Lophocebus albigena	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Mandrillus	Mandrillus leucophaeus	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Miopithecus	Miopithecus ogouensis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Papio	Papio anubis	Cercopithecidae	Primates	1	0	1	0	0	0	0	0
Theropithecus	Theropithecus gelada	Cercopithecidae	Primates	1	0	1	0	1	1	0	0
Procolobus	Procolobus verus	Cercopithecidae	Primates	1	0	1	1	0	0	0	0
Gorilla	Gorilla beringei	Hominidae	Primates	1	0	1	0	0	0	0	0
Pan	Pan paniscus	Hominidae	Primates	1	0	1	0	0	0	0	0
Equus	Equus asinus	Equidae	Perissodactyla	3	2	1	0	1	0	1	1
Ceratotherium	Ceratotherium simum	Rhinocerotidae	Perissodactyla	3	2	1	0	1	0	1	1
Diceros	Diceros bicornis	Rhinoceratidae	Perissodactyla	2	1	1	1	1	0	0	0
Taurotragus	Taurotragus derbianus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Camelus	Camelus bactrianus	Camelidae	Artiodactyla	3	2	1	0	1	0	0	0
